iso2,year,cpi_2010_100
AE,2007,86.9531
AE,2008,97.6052
AE,2009,99.1297
AE,2010,100.0
AE,2011,100.8773
AE,2012,101.5454
AE,2013,102.6636
AE,2014,105.0723
AE,2015,109.3487
AE,2016,111.1174
AE,2017,113.3029
AE,2018,116.7798
AE,2019,114.5247
AE,2020,112.1432
AE,2021,112.345
AE,2022,118.2894
AE,2023,120.2137
AE,2024,122.2133
AF,2004,63.5234
AF,2005,71.5821
AF,2006,76.4387
AF,2007,83.074
AF,2008,105.0211
AF,2009,97.8679
AF,2010,100.0
AF,2011,111.8042
AF,2012,119.0057
AF,2013,127.7952
AF,2014,133.7684
AF,2015,132.8832
AF,2016,138.7087
AF,2017,145.6107
AF,2018,146.5225
AF,2019,149.896
AF,2020,158.293
AF,2021,166.4185
AF,2022,189.238
AF,2023,180.4484
AF,2024,168.5367
AG,1998,79.5694
AG,1999,80.4616
AG,2000,81.0826
AG,2001,82.22
AG,2002,84.1996
AG,2003,85.8781
AG,2004,87.6215
AG,2005,89.4605
AG,2006,91.0598
AG,2007,92.3493
AG,2008,97.275
AG,2009,96.7398
AG,2010,100.0
AG,2011,103.4567
AG,2012,106.9504
AG,2013,108.0835
AG,2014,109.261
AG,2015,110.3197
AG,2016,109.7798
AG,2017,112.4502
AG,2018,113.8076
AG,2019,115.4366
AG,2020,116.1592
AG,2021,118.5556
AG,2022,127.4841
AG,2023,133.9439
AG,2024,142.2469
AL,1991,5.1145
AL,1992,16.6735
AL,1993,30.8469
AL,1994,37.8075
AL,1995,40.7539
AL,1996,45.94
AL,1997,61.183
AL,1998,73.813
AL,1999,74.1004
AL,2000,74.1375
AL,2001,76.4414
AL,2002,82.3813
AL,2003,82.78
AL,2004,84.6674
AL,2005,86.6711
AL,2006,88.7258
AL,2007,91.3279
AL,2008,94.3608
AL,2009,96.4999
AL,2010,100.0
AL,2011,103.4281
AL,2012,105.5293
AL,2013,107.5741
AL,2014,109.3231
AL,2015,111.396
AL,2016,112.8168
AL,2017,115.0581
AL,2018,117.3915
AL,2019,119.048
AL,2020,120.9777
AL,2021,123.4474
AL,2022,131.7495
AL,2023,138.0186
AL,2024,141.0769
AM,1993,0.462
AM,1994,16.0498
AM,1995,44.2897
AM,1996,52.5635
AM,1997,59.9018
AM,1998,65.0968
AM,1999,65.5188
AM,2000,65.0006
AM,2001,67.0454
AM,2002,67.7562
AM,2003,70.9553
AM,2004,75.8947
AM,2005,76.3796
AM,2006,78.5888
AM,2007,82.0525
AM,2008,89.3961
AM,2009,92.4416
AM,2010,100.0
AM,2011,107.65
AM,2012,110.4037
AM,2013,116.7957
AM,2014,120.2778
AM,2015,124.7662
AM,2016,123.0149
AM,2017,124.2076
AM,2018,127.338
AM,2019,129.176
AM,2020,130.7409
AM,2021,140.1344
AM,2022,152.2433
AM,2023,155.2584
AM,2024,155.6768
AO,1990,0.0
AO,1991,0.0
AO,1992,0.0
AO,1993,0.0
AO,1994,0.0
AO,1995,0.0007
AO,1996,0.0297
AO,1997,0.0948
AO,1998,0.1966
AO,1999,0.6845
AO,2000,2.9091
AO,2001,7.3472
AO,2002,15.3481
AO,2003,30.4237
AO,2004,43.6708
AO,2005,53.6948
AO,2006,60.839
AO,2007,68.2927
AO,2008,76.8128
AO,2009,87.3594
AO,2010,100.0
AO,2011,113.4825
AO,2012,125.1461
AO,2013,136.1312
AO,2014,146.0421
