iso2,year,gdp_per_capita_usd
1A,2024,7583.81170078144
1W,2024,13631.2043097215
4E,2024,10396.7957405051
7E,2024,9793.69205809432
8S,2024,2690.07883749003
AD,2024,49303.6491674336
AE,2024,50273.5060469837
AF,2023,413.757894705303
AG,2024,23542.4526945578
AL,2024,11377.7757431099
AM,2024,8556.21406956719
AO,2024,2665.87444776753
AR,2024,13969.7836603737
AS,2022,18017.4589383973
AT,2024,58268.8787651601
AU,2024,64603.9856308464
AW,2024,39498.5941293797
AZ,2024,7283.8499076179
B8,2024,24604.8068595604
BA,2024,9358.78768951134
BB,2024,26544.8707282621
BD,2024,2593.41611680774
BE,2024,56614.5679499036
BF,2024,981.992649769081
BG,2024,17596.0173663521
BH,2024,29653.5682731534
BI,2024,219.424830882698
BJ,2024,1485.38018885134
BM,2024,142855.374713782
BN,2024,33153.4738913513
BO,2024,4421.16609889999
BR,2024,10310.5488778166
BS,2024,39455.4466548546
BT,2023,3831.32535494609
BW,2024,7695.75319445165
BY,2024,8317.63399913792
BZ,2024,7681.24400583113
CA,2024,54340.3477224733
CD,2024,649.383338556725
CF,2024,516.160999996036
CG,2024,2482.2489948456
CH,2024,103998.186685604
CI,2024,2727.8935220697
CL,2024,16709.8893972307
CM,2024,1830.00833684727
CN,2024,13303.1481543868
CO,2024,7919.20886825345
CR,2024,18587.1532203482
CU,2020,9605.27914559614
CV,2024,5192.48157325878
CW,2024,22832.8953958667
CY,2024,38674.29296875
CZ,2024,31823.3078290564
DE,2024,56103.7323182554
DJ,2024,3552.72335079222
DK,2024,71026.4832271897
DM,2024,10405.2787777582
DO,2024,10875.6618443092
DZ,2024,5752.99076651465
EC,2024,6874.705739766
EE,2024,31428.3547816104
EG,2024,3338.47371395895
ES,2024,35326.7683069278
ET,2024,1133.88279681719
EU,2024,43304.9642561331
F1,2024,1527.95809514037
FI,2024,53149.7671934051
FJ,2024,6425.74151715712
FM,2024,4166.00476748564
FO,2024,74119.6607553879
FR,2024,46103.0840855884
GA,2024,8230.04311451151
GB,2024,53246.3676145108
GD,2024,11705.0902976658
GE,2024,9241.49122313713
GH,2024,2390.77237652715
GL,2023,58498.9707973609
GM,2024,871.340291776294
GN,2024,1694.95375862193
GQ,2024,6745.40013244916
GR,2024,24626.1481858973
GT,2024,6150.02571438505
GU,2022,41833.1517132825
GW,2024,1007.74151728028
GY,2024,29675.2443873316
HK,2024,54074.6928519479
HN,2024,3426.43483328923
HR,2024,24050.4397933135
HT,2024,2142.62330526788
HU,2024,23292.3263882478
ID,2024,4925.43048751861
IE,2024,112894.953240805
IL,2024,54176.6844383302
IM,2022,88328.548125887
IN,2024,2694.73780859961
IQ,2024,6073.61032342708
IR,2024,5190.16959024821
IS,2024,86040.5309851288
IT,2024,40385.3413957669
JG,2023,74585.5224096294
JM,2024,7753.8006955432
JO,2024,4618.09592498567
JP,2024,32487.0778047567
KE,2024,2132.43452097647
KG,2024,2420.18542283831
KH,2024,2627.87969756224
KI,2024,2288.63471423684
KM,2024,1662.75663312504
KN,2024,23960.6534357084
KR,2024,36238.639908315
KW,2024,32717.7186631255
KY,2023,99143.5180243123
KZ,2024,14154.6324958076
LA,2024,2123.97909415109
LB,2023,3477.72489842684
LC,2024,14181.6303351598
LI,2023,206780.590353385
LK,2024,4515.56787322732
LR,2024,851.497723870206
LS,2024,971.90771824829
LT,2024,29384.0189598663
LU,2024,137781.681659123
LV,2024,23409.0845154775
LY,2024,6569.16408678648
MA,2024,4153.1943359375
MC,2024,288001.433369041
MD,2024,7576.19589413326
ME,2024,13263.3281277699
MF,2021,21668.3776525323
MG,2024,544.987501003384
MH,2024,7726.33668877794
MK,2024,9291.85661671864
ML,2024,1094.61949265799
MM,2024,1359.05001560107
MN,2024,6750.6301157724
MO,2024,72004.7437020733
MP,2022,23785.754590043
MR,2024,2110.12036938187
MT,2024,43898.5781808597
MU,2024,11990.7798944837
MV,2024,13379.3513577224
MW,2024,522.570393642547
