iso2,year,usd_per_local_implied
AD,2024,1.0823799370054883
AE,2024,0.2722940776038116
AF,2023,0.012696800406297597
AG,2024,0.37037037037037013
AL,2024,0.010742003920831415
AM,2024,0.0025462786138059244
AO,2024,0.0009910533599431816
AR,2024,0.0010932607349023453
AS,2022,1.0
AT,2024,1.0823804687500005
AU,2024,0.6555992767428779
AW,2024,0.5586592178770954
AZ,2024,0.5882352941176485
BA,2024,0.5532307569745795
BB,2024,0.500000000000001
BD,2024,0.008997613248121723
BE,2024,1.082380468750001
BF,2024,0.0016492252901085416
BG,2024,0.5531456841914285
BH,2024,2.659574468085101
BI,2024,0.00020965006216894745
BJ,2024,0.001649225290108538
BM,2024,1.0
BN,2024,0.7484845059964828
BO,2024,0.14471780028943576
BR,2024,0.18556542572861315
BS,2024,1.0
BT,2023,0.012106643646610172
BW,2024,0.07372927774135933
BY,2024,0.30805325131723593
BZ,2024,0.4999999999999987
CA,2024,0.730268279234749
CD,2024,0.0003542477233428725
CF,2024,0.0016492252901085386
CG,2024,0.0016492252901085368
CH,2024,1.1357946634687732
CI,2024,0.0016492252901085431
CL,2024,0.001059802350019932
CM,2024,0.0016492252901085449
CN,2024,0.1389373046802002
CO,2024,0.0002454328525171134
CR,2024,0.001941333778463053
CV,2024,0.009811423383119326
CW,2024,0.5586592178770963
CY,2024,1.0823799237418092
CZ,2024,0.04307219617949627
DE,2024,1.0823804687499998
DJ,2024,0.0056267970583105
DK,2024,0.1450435412854414
DM,2024,0.37037037037037085
DO,2024,0.016788344953414268
DZ,2024,0.007459722607827707
EC,2024,1.0
EE,2024,1.0823804687500018
EG,2024,0.02798460659296127
ES,2024,1.0823804687499994
ET,2024,0.012706480304955562
FI,2024,1.08238046875
FJ,2024,0.44085879292862484
FM,2024,1.0
FO,2024,0.14504354128474017
FR,2024,1.0823804687500007
GA,2024,0.0016492252901085416
GB,2024,1.2780947905386197
GD,2024,0.3703703703703699
GE,2024,0.367540177113075
GH,2024,0.0704165002196642
GL,2023,0.14514413756296887
GM,2024,0.014765232798496519
GN,2024,0.0001165377268783562
GQ,2024,0.0016492252901085394
GR,2024,1.082380468749999
GT,2024,0.128890262572665
GU,2022,1.0
GW,2024,0.00164922529010854
GY,2024,0.004796163069544356
HK,2024,0.12814215783448982
HN,2024,0.04032374808270664
HR,2024,1.082399853659536
HT,2024,0.007560228579882186
HU,2024,0.0027345503601630696
ID,2024,6.306980300392429e-05
IE,2024,1.0823804687499978
IL,2024,0.2702907502947351
IM,2022,1.2325866323514543
IN,2024,0.01182374000787554
IQ,2024,0.0007692307692307687
IR,2024,2.208163569660319e-06
IS,2024,0.007248581537099911
IT,2024,1.0823804687499994
JG,2023,1.2429478247791597
JM,2024,0.006392246133846506
JO,2024,1.40845070422535
JP,2024,0.00660649072784554
KE,2024,0.007417160533974152
KG,2024,0.011474428095284013
KH,2024,0.00024555561290124967
KI,2024,0.659910067456007
KM,2024,0.002200104517725203
KN,2024,0.37037037037037024
KR,2024,0.0007334739158338691
KW,2024,3.260610842835304
KY,2023,1.2000048000191996
KZ,2024,0.0021323666604472578
LA,2024,4.958514248403246e-05
LB,2023,1.165120939553525e-05
LC,2024,0.37037037037036996
LI,2023,1.1129784416075914
LK,2024,0.003309964468995087
LR,2024,1.0
LS,2024,0.05455936817632792
LT,2024,1.0823804687499972
LU,2024,1.0823804687499976
LV,2024,1.0823804687500003
LY,2024,0.20694473416707243
MA,2024,0.10058310644489307
MC,2024,1.0823799370054887
MD,2024,0.05620566777953895
ME,2024,1.0818213977781534
MF,2021,1.1827405043678636
MG,2024,0.00022097373437249428
MH,2024,1.0
MK,2024,0.017583151230506744
ML,2024,0.0016492252901085384
MM,2024,0.0004761904761904774
MN,2024,0.00029498685880741907
MO,2024,0.12442715294125249
MP,2022,1.0
MR,2024,0.02524137060642391
MT,2024,1.0823799370054896
MU,2024,0.02154491009578329
MV,2024,0.06498065266047691
MW,2024,0.0005752615986300075
MX,2024,0.05463030633725766
MY,2024,0.21851103087386095
MZ,2024,0.01564822783819734
NA,2024,0.054559368176328074
NC,2024,0.009065662128447567
NE,2024,0.0016492252901085405
NG,2024,0.0006766267051408263
NI,2024,0.02730427612268351
NL,2024,1.0823804687499994
NO,2024,0.09305932531989167
NP,2024,0.007516822224128681
NR,2024,0.6555992767428777
NZ,2024,0.6052139179027325
OM,2024,2.600780234070226
PA,2024,1.0
PE,2024,0.2663901182052872
PF,2024,0.009065662128447604
PG,2024,0.25955486340925327
PH,2024,0.017454853675525274
PK,2024,0.003532356532429858
PL,2024,0.251206839526988
PR,2024,1.0
PS,2024,1.0
PT,2024,1.08238046875
PW,2023,1.0
PY,2024,0.00013227080043480744
QA,2024,0.2747252747252745
RO,2024,0.21746694502435632
RS,2024,0.009242447162292848
RU,2024,0.010806925383794986
RW,2024,0.0007586514580992357
SA,2024,0.26666666666666716
SB,2024,0.1182755052847862
SC,2024,0.06882457874368028
SD,2024,0.0006379312076731428
SE,2024,0.09462853933330291
SG,2024,0.748372476955743
SI,2024,1.0823804687499998
SK,2024,1.082380468750002
SL,2024,0.04427357794927876
SM,2023,1.0814201209027687
SN,2024,0.0016492252901085475
SO,2024,3.556462216323231e-05
SR,2024,0.030138136339624522
ST,2024,0.04383421950783199
SV,2024,1.0
SX,2024,0.5586592178770946
SY,2022,0.0002666520301722847
SZ,2024,0.054592045382148985
TC,2024,1.0
TD,2024,0.001649225290108542
TG,2024,0.001649225290108543
TH,2024,0.028333798668753414
TJ,2024,0.09259694807866899
TL,2024,1.0
TM,2024,0.2137903728462724
TN,2024,0.3213075417627495
TO,2023,0.42343778979023705
