iso2,year,population
1A,2024,492612632
1W,2024,8141808945
4E,2024,2141122258
7E,2024,250281521
8S,2024,1677384532
AD,2024,81938
AE,2024,10986400
AF,2024,42647492
AG,2024,93772
AL,2024,2377128
AM,2024,3033500
AO,2024,37885849
AR,2024,45696159
AS,2024,46765
AT,2024,9177982
AU,2024,27196812
AW,2024,107995
AZ,2024,10202830
B8,2024,100061963
BA,2024,3164253
BB,2024,282467
BD,2024,173562364
BE,2024,11858610
BF,2024,23548781
BG,2024,6441421
BH,2024,1588670
BI,2024,14047786
BJ,2024,14462724
BM,2024,64636
BN,2024,462721
BO,2024,12413315
BR,2024,211998573
BS,2024,401283
BT,2024,791524
BW,2024,2521139
BY,2024,9132629
BZ,2024,417072
CA,2024,41288599
CD,2024,109276265
CF,2024,5330690
CG,2024,6332961
CH,2024,9005582
CI,2024,31934230
CL,2024,19764771
CM,2024,29123744
CN,2024,1408975000
CO,2024,52886363
CR,2024,5129910
CU,2024,10979783
CV,2024,524877
CW,2024,155967
CY,2024,1358282
CZ,2024,10905028
DE,2024,83516593
DJ,2024,1168722
DK,2024,5976992
DM,2024,66205
DO,2024,11427557
DZ,2024,46814308
EC,2024,18135478
EE,2024,1372341
EG,2024,116538258
ER,2024,3535603
ES,2024,48848840
ET,2024,132059767
EU,2024,450228188
F1,2024,1081767572
FI,2024,5619911
FJ,2024,928784
FM,2024,113160
FO,2024,54681
FR,2024,68551653
GA,2024,2538952
GB,2024,69226000
GD,2024,117207
GE,2024,3699557
GH,2024,34427414
GI,2024,39329
GL,2024,56836
GM,2024,2759988
GN,2024,14754785
GQ,2024,1892516
GR,2024,10405134
GT,2024,18406359
GU,2024,167777
GW,2024,2201352
GY,2024,831087
HK,2024,7524100
HN,2024,10825703
HR,2024,3866200
HT,2024,11772557
HU,2024,9562065
ID,2024,283487931
IE,2024,5395790
IL,2024,9974400
IM,2024,84160
IN,2024,1450935791
IQ,2024,46042015
IR,2024,91567738
IS,2024,386506
IT,2024,58952704
JG,2024,168126
JM,2024,2839175
JO,2024,11552876
JP,2024,123975371
KE,2024,56432944
KG,2024,7221868
KH,2024,17638801
KI,2024,134518
KM,2024,866628
KN,2024,46843
KP,2024,26498823
KR,2024,51751065
KW,2024,4897263
KY,2024,74457
KZ,2024,20592571
LA,2024,7769819
LB,2024,5805962
LC,2024,179744
LI,2024,40450
LK,2024,21916000
LR,2024,5612817
LS,2024,2337423
LT,2024,2888278
LU,2024,677012
LV,2024,1866124
LY,2024,7381023
MA,2024,38081173
MC,2024,38631
MD,2024,2402306
ME,2024,623525
MF,2024,26129
MG,2024,31964956
MH,2024,37548
MK,2024,1824359
ML,2024,24478595
MM,2024,54500091
MN,2024,3524788
MO,2024,687000
MP,2024,44278
MR,2024,5169395
MT,2024,568847
MU,2024,1245779
MV,2024,527799
MW,2024,21655286
MX,2024,130861007
MY,2024,35557673
MZ,2024,34631766
NA,2024,3030131
NC,2024,292639
NE,2024,27032412
NG,2024,232679478
NI,2024,6916140
NL,2024,17993485
NO,2024,5572279
NP,2024,29651054
NR,2024,11947
NZ,2024,5287500
OE,2024,1396877448
OM,2024,5281538
PA,2024,4515577
PE,2024,34217848
PF,2024,281807
PG,2024,10576502
PH,2024,115843670
PK,2024,251269164
PL,2024,36559233
PR,2024,3203295
PS,2024,5289152
PT,2024,10694681
PW,2024,17695
PY,2024,6929153
QA,2024,2857822
RO,2024,19051804
RS,2024,6586476
RU,2024,143533851
RW,2024,14256567
S1,2024,20193405
S2,2024,2722467
S3,2024,4539060
S4,2024,12931878
SA,2024,35300280
SB,2024,819198
SC,2024,121354
SD,2024,50448963
SE,2024,10569709
SG,2024,6036860
SI,2024,2127400
SK,2024,5422069
SL,2024,8642022
SM,2024,33977
SN,2024,18501984
SO,2024,19009151
SR,2024,634431
SS,2024,11943408
ST,2024,235536
SV,2024,6338193
SX,2024,43350
SY,2024,24672760
SZ,2024,1242822
T2,2024,647003746
T3,2024,736401764
T4,2024,2114653077
T5,2024,1677384532
T6,2024,1291044964
T7,2024,459734030
TC,2024,46535
TD,2024,20299123
TG,2024,9515236
TH,2024,71668011
TJ,2024,10590927
TL,2024,1400638
TM,2024,7494498
TN,2024,12277109
TO,2024,104175
TR,2024,85518661
TT,2024,1368333
TV,2024,9646
TZ,2024,68560157
UA,2024,37860221
UG,2024,50015092
US,2024,340110988
UY,2024,3386588
UZ,2024,36361859
V1,2024,1105951788
V2,2024,3552278604
V3,2024,2328628339
V4,2024,1128377826
VC,2024,100616
VE,2024,28405543
VG,2024,39471
VI,2024,104377
VN,2024,100987686
VU,2024,327777
WS,2024,218019
XC,2024,351161936
XD,2024,1417841927
XE,2024,941413026
XF,2024,4979421568
XG,2024,1946800545
XH,2024,676957651
XI,2024,1269842894
XJ,2024,594158638
XK,2024,1594353
XL,2024,1187777591
XM,2024,624608098
XN,2024,3120980912
XO,2024,6563501708
XP,2024,5938893610
XQ,2024,741690916
XT,2024,2817912698
XU,2024,381464223
YE,2024,40583164
Z4,2024,2388319494
Z7,2024,928263208
ZA,2024,64007187
ZF,2024,1158863843
ZG,2024,1291044964
ZH,2024,769280888
ZI,2024,521764076
ZJ,2024,662186388
ZM,2024,21314956
ZQ,2024,813146136
ZT,2024,6926222113
ZW,2024,16634373
